TIME, N1_UZ, N1_AZ, N2_UZ, N2_AZ, N3_UZ, N3_AZ, N4_UZ, N4_AZ
5.8E-02, -9.644558694E-06, -1.618556901E-02, 5.221213688E-07, 2.841153536E-02, -1.05679506E-07, 2.971605213E-03, 4.554784092E-07, -3.865939936E-02
5.9E-02, -9.963023729E-06, -7.817453664E-03, 4.802720606E-07, 4.154546449E-02, 5.333224583E-08, -2.604379268E-02, 4.452466273E-07, -5.610986584E-02
6.E-02, -1.027012121E-05, 3.055259088E-02, 4.794896915E-07, 4.058866583E-02, 1.816129618E-07, -3.541870064E-02, 3.771313034E-07, -5.965746876E-02
6.1E-02, -1.05358314E-05, 5.222236827E-02, 5.127761086E-07, 2.754895848E-02, 2.797624369E-07, -2.484386145E-02, 2.563720542E-07, -4.563057129E-02
6.2E-02, -1.07529815E-05, 4.489813848E-02, 5.675885388E-07, 1.550299234E-02, 3.548084691E-07, -2.136277004E-02, 1.00992084E-07, -2.36108829E-02
6.3E-02, -1.095553747E-05, -1.570885776E-02, 6.336308352E-07, 6.956727321E-03, 4.055595262E-07, -2.722719829E-02, -6.758789619E-08, -2.78909541E-03
6.4E-02, -1.119934772E-05, -6.680093772E-02, 7.040152445E-07, 1.727428893E-03, 4.307890029E-07, -2.381617415E-02, -2.292572728E-07, 1.661029702E-02
6.5E-02, -1.150032702E-05, -4.753770235E-02, 7.76296159E-07, 2.065511981E-03, 4.356094302E-07, -1.700180142E-02, -3.652410959E-07, 3.476084622E-02
6.6E-02, -1.183501781E-05, -1.988495288E-02, 8.494033089E-07, -4.129033751E-04, 4.189439288E-07, -2.596978622E-02, -4.610084249E-07, 4.567228567E-02
6.7E-02, -1.218618923E-05, -1.307611073E-02, 9.171233062E-07, -1.036135208E-02, 3.691218148E-07, -4.034356963E-02, -5.111138116E-07, 4.565172884E-02
6.8E-02, -1.255416678E-05, -2.053597885E-02, 9.733913298E-07, -1.254283622E-02, 2.81034845E-07, -3.618647259E-02, -5.183056497E-07, 4.017537602E-02
6.9E-02, -1.293006652E-05, 4.690617916E-03, 1.021154051E-06, -4.467786819E-03, 1.6543208E-07, -1.884511998E-02, -4.874180404E-07, 3.598347944E-02
7.E-02, -1.328028822E-05, 4.666600935E-02, 1.063179325E-06, -7.006826109E-03, 3.631390903E-08, -8.185524382E-03, -4.223375296E-07, 3.240234705E-02
7.1E-02, -1.359526719E-05, 2.382052113E-02, 1.093215039E-06, -1.697238579E-02, -9.708522511E-08, -3.76495686E-04, -3.284434402E-07, 2.522487606E-02
7.2E-02, -1.391062154E-05, -2.457169792E-02, 1.110726075E-06, -8.077348897E-03, -2.215569125E-07, 1.823121366E-02, -2.145640744E-07, 1.474569378E-02
7.3E-02, -1.424677271E-05, -1.70229344E-02, 1.129675921E-06, 1.095509132E-02, -3.177491451E-07, 3.832783118E-02, -9.046236754E-08, 5.698936276E-03
7.4E-02, -1.458082625E-05, 2.121840425E-02, 1.15722884E-06, 6.25152145E-03, -3.735695223E-07, 4.241614321E-02, 3.666096336E-08, 3.442715039E-04
7.5E-02, -1.490685387E-05, -5.165148322E-03, 1.180474813E-06, -1.486546516E-02, -3.904797907E-07, 3.540409075E-02, 1.615025054E-07, -4.907812271E-03
7.6E-02, -1.526203098E-05, -5.313468987E-02, 1.189082135E-06, -1.441231872E-02, -3.745495217E-07, 3.027692141E-02, 2.768533235E-07, -1.407357499E-02
7.7E-02, -1.565800495E-05, -2.845998735E-02, 1.193628002E-06, 6.289377422E-03, -3.331238777E-07, 2.071399975E-02, 3.726603692E-07, -2.501398538E-02
7.8E-02, -1.606822251E-05, -2.634514518E-05, 1.207870069E-06, 1.310339745E-02, -2.81813012E-07, -9.434245637E-04, 4.398362173E-07, -3.224848636E-02
7.9E-02, -1.647725633E-05, 2.393638181E-03, 1.231717217E-06, 6.106740031E-03, -2.394067769E-07, -1.686610779E-02, 4.73194411E-07, -3.538684876E-02
8.E-02, -1.687970792E-05, 1.077085809E-02, 1.264712822E-06, 1.218987543E-02, -2.09827386E-07, -8.78790894E-03, 4.697875904E-07, -3.814316327E-02
8.1E-02, -1.726833496E-05, 1.687825672E-02, 1.315330822E-06, 2.305508775E-02, -1.807087845E-07, 7.866439616E-03, 4.280335218E-07, -3.855140724E-02
8.2E-02, -1.763475945E-05, 2.752671075E-02, 1.383661826E-06, 1.237128229E-02, -1.435419287E-07, 8.230364845E-03, 3.521014146E-07, -2.980482364E-02
8.3E-02, -1.798380366E-05, 7.234749309E-03, 1.455007898E-06, -6.341300586E-03, -1.034481526E-07, -2.376542692E-03, 2.546382821E-07, -1.325726922E-02
8.4E-02, -1.834486203E-05, -3.12635019E-02, 1.519931263E-06, -6.504421103E-03, -6.697124606E-08, -4.857379415E-03, 1.506294313E-07, 1.659513652E-04
8.5E-02, -1.873994298E-05, -3.678205363E-02, 1.582154871E-06, 1.105014898E-03, -3.356300538E-08, -1.279922805E-03, 4.935106535E-08, 5.295107153E-03
8.6E-02, -1.916492909E-05, -2.302834914E-02, 1.642648135E-06, -4.565478077E-03, -2.503495688E-09, -3.417426717E-03, -4.511788089E-08, 8.323697185E-03
8.7E-02, -1.961236879E-05, -2.187842507E-02, 1.692890787E-06, -1.593582559E-02, 2.235452113E-08, -8.985584334E-03, -1.288157203E-07, 1.321850477E-02
8.8E-02, -2.009149223E-05, -4.148893679E-02, 1.726817132E-06, -1.669697504E-02, 3.604185307E-08, -1.335579027E-02, -1.981041986E-07, 1.560029104E-02
8.9E-02, -2.058987765E-05, 2.963259199E-03, 1.746165268E-06, -1.245938218E-02, 3.272963062E-08, -2.064324157E-02, -2.521233131E-07, 1.493843973E-02
9.E-02, -2.104964644E-05, 7.427100525E-02, 1.750218733E-06, -1.81297745E-02, 5.628515618E-09, -2.693464362E-02, -2.894881043E-07, 1.837010255E-02
