TIME, N5_UZ, N5_AZ, N6_UZ, N6_AZ, N7_UZ, N7_AZ
7.1E-02, 3.893980533E-07, -1.635089407E-02, 9.055580834E-07, -9.974060447E-02, -9.047927121E-08, -4.88926332E-02
7.2E-02, 7.550225901E-07, -3.643816333E-02, 6.785929782E-07, -8.038157955E-02, -3.497231137E-07, -9.186610066E-03
7.3E-02, 1.078055021E-06, -4.874616594E-02, 3.818494662E-07, -5.917524233E-02, -5.950636599E-07, 3.699317137E-02
7.4E-02, 1.347960142E-06, -5.750842571E-02, 3.783592947E-08, -3.536486332E-02, -7.814597495E-07, 8.089582888E-02
7.5E-02, 1.551982192E-06, -7.425754721E-02, -3.264167927E-07, -5.113611972E-03, -8.707280506E-07, 0.113359946
7.6E-02, 1.669909682E-06, -9.793156739E-02, -6.771197487E-07, 3.221307153E-02, -8.397347684E-07, 0.127163488
7.7E-02, 1.683778646E-06, -0.110185772, -9.761042483E-07, 7.122387106E-02, -6.852021397E-07, 0.119915463
7.8E-02, 1.59164964E-06, -0.101810399, -1.187807186E-06, 0.103339394, -4.231958811E-07, 9.503197952E-02
7.9E-02, 1.404912395E-06, -8.740600395E-02, -1.287566895E-06, 0.120547293, -8.41468008E-08, 5.905375922E-02
8.E-02, 1.135151797E-06, -7.86406352E-02, -1.268466888E-06, 0.117172424, 2.934510096E-07, 1.804373222E-02
8.1E-02, 7.946427887E-07, -6.285642317E-02, -1.144163379E-06, 9.32348105E-02, 6.679771812E-07, -2.418701024E-02
8.2E-02, 4.0769647E-07, -3.001838738E-02, -9.4379424E-07, 5.889647917E-02, 9.974676012E-07, -6.58845058E-02
8.3E-02, 6.388457539E-09, 1.295223211E-03, -6.987430717E-07, 3.046740334E-02, 1.241122775E-06, -0.105786018
8.4E-02, -3.875638525E-07, 1.341643791E-02, -4.300940218E-07, 1.67281697E-02, 1.36148628E-06, -0.14079741
8.5E-02, -7.638729776E-07, 2.186977153E-02, -1.472759735E-07, 1.160980026E-02, 1.329398249E-06, -0.164105863
